,nodes,louvain_nx,leiden_nx,walktrap_nx,walktrap_ig,girvan_newman_nx,girvan_newman_ig,markov_nx,lead_eigenvector_nx,lead_eigenvector_ig,optimal_mod_ig,infomap_nx,infomap_ig,fast_greedy_ig,multilevel_ig,spinglass_nx,spinglass_ig,label_prop_nx,label_prop_ig
0,"(0, 1)",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
1,"(0, 2)",1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
2,"(0, 3)",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
3,"(0, 4)",0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1
4,"(0, 5)",0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
5,"(0, 6)",0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
6,"(0, 7)",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
7,"(0, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"(0, 9)",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
9,"(0, 10)",0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1
10,"(0, 11)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,"(0, 12)",1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
12,"(0, 13)",1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1
13,"(0, 14)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,"(0, 15)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,"(0, 16)",0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
16,"(0, 17)",1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1
17,"(0, 18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"(0, 19)",1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
19,"(0, 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"(0, 21)",1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
21,"(0, 22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"(0, 23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"(0, 24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"(0, 25)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,"(0, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"(0, 27)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,"(0, 28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"(0, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"(0, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"(0, 31)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"(0, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"(0, 33)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"(1, 2)",1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
34,"(1, 3)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,"(1, 4)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
36,"(1, 5)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
37,"(1, 6)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
38,"(1, 7)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,"(1, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"(1, 9)",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
41,"(1, 10)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
42,"(1, 11)",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
43,"(1, 12)",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
44,"(1, 13)",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,"(1, 14)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,"(1, 15)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,"(1, 16)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
48,"(1, 17)",1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
49,"(1, 18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"(1, 19)",1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1
51,"(1, 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"(1, 21)",1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
53,"(1, 22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"(1, 23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"(1, 24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"(1, 25)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
57,"(1, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"(1, 27)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
59,"(1, 28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"(1, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"(1, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"(1, 31)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"(1, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"(1, 33)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"(2, 3)",1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
66,"(2, 4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,"(2, 5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,"(2, 6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,"(2, 7)",1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
70,"(2, 8)",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
71,"(2, 9)",0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1
72,"(2, 10)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,"(2, 11)",1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
74,"(2, 12)",1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1
75,"(2, 13)",1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1
76,"(2, 14)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,"(2, 15)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,"(2, 16)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,"(2, 17)",1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
80,"(2, 18)",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
81,"(2, 19)",1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1
82,"(2, 20)",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
83,"(2, 21)",1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1
84,"(2, 22)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
85,"(2, 23)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
86,"(2, 24)",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
87,"(2, 25)",0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0
88,"(2, 26)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
89,"(2, 27)",0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0
90,"(2, 28)",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
91,"(2, 29)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
92,"(2, 30)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
93,"(2, 31)",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
94,"(2, 32)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
95,"(2, 33)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
96,"(3, 4)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
97,"(3, 5)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
98,"(3, 6)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
99,"(3, 7)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,"(3, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,"(3, 9)",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
102,"(3, 10)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
103,"(3, 11)",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
104,"(3, 12)",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
105,"(3, 13)",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,"(3, 14)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,"(3, 15)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,"(3, 16)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
109,"(3, 17)",1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
110,"(3, 18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,"(3, 19)",1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1
112,"(3, 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,"(3, 21)",1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
114,"(3, 22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,"(3, 23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"(3, 24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,"(3, 25)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
118,"(3, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"(3, 27)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
120,"(3, 28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"(3, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"(3, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,"(3, 31)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,"(3, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,"(3, 33)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,"(4, 5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
127,"(4, 6)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
128,"(4, 7)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
129,"(4, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,"(4, 9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,"(4, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,"(4, 11)",0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1
133,"(4, 12)",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
134,"(4, 13)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
135,"(4, 14)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,"(4, 15)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,"(4, 16)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
138,"(4, 17)",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
139,"(4, 18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,"(4, 19)",0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1
141,"(4, 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,"(4, 21)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
143,"(4, 22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,"(4, 23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,"(4, 24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,"(4, 25)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,"(4, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,"(4, 27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,"(4, 28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,"(4, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,"(4, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,"(4, 31)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,"(4, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,"(4, 33)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,"(5, 6)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,"(5, 7)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
157,"(5, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,"(5, 9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159,"(5, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
160,"(5, 11)",0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
161,"(5, 12)",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
162,"(5, 13)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
163,"(5, 14)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,"(5, 15)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
165,"(5, 16)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
166,"(5, 17)",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
167,"(5, 18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,"(5, 19)",0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
169,"(5, 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,"(5, 21)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
171,"(5, 22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,"(5, 23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,"(5, 24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,"(5, 25)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,"(5, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,"(5, 27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,"(5, 28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"(5, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"(5, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,"(5, 31)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,"(5, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"(5, 33)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,"(6, 7)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
184,"(6, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,"(6, 9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186,"(6, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
187,"(6, 11)",0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
188,"(6, 12)",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
189,"(6, 13)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
190,"(6, 14)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
191,"(6, 15)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
192,"(6, 16)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
193,"(6, 17)",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
194,"(6, 18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,"(6, 19)",0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
196,"(6, 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,"(6, 21)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
198,"(6, 22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,"(6, 23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,"(6, 24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,"(6, 25)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,"(6, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,"(6, 27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,"(6, 28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,"(6, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,"(6, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,"(6, 31)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,"(6, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,"(6, 33)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,"(7, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,"(7, 9)",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
212,"(7, 10)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
213,"(7, 11)",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
214,"(7, 12)",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
215,"(7, 13)",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
216,"(7, 14)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
217,"(7, 15)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218,"(7, 16)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
219,"(7, 17)",1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
220,"(7, 18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,"(7, 19)",1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1
222,"(7, 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,"(7, 21)",1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
224,"(7, 22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,"(7, 23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,"(7, 24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,"(7, 25)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
228,"(7, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,"(7, 27)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
230,"(7, 28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,"(7, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,"(7, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"(7, 31)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,"(7, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,"(7, 33)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,"(8, 9)",1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0
237,"(8, 10)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,"(8, 11)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,"(8, 12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,"(8, 13)",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,"(8, 14)",1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1
242,"(8, 15)",1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
243,"(8, 16)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
244,"(8, 17)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
245,"(8, 18)",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
246,"(8, 19)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
247,"(8, 20)",1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
248,"(8, 21)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
249,"(8, 22)",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
250,"(8, 23)",0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1
251,"(8, 24)",0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
252,"(8, 25)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
253,"(8, 26)",1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
254,"(8, 27)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
255,"(8, 28)",0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1
256,"(8, 29)",1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
257,"(8, 30)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
258,"(8, 31)",0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1
259,"(8, 32)",1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
260,"(8, 33)",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
261,"(9, 10)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
262,"(9, 11)",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
263,"(9, 12)",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
264,"(9, 13)",0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1
265,"(9, 14)",1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
266,"(9, 15)",1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0
267,"(9, 16)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
268,"(9, 17)",0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1
269,"(9, 18)",1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
270,"(9, 19)",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
271,"(9, 20)",1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
272,"(9, 21)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
273,"(9, 22)",1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
274,"(9, 23)",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
275,"(9, 24)",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
276,"(9, 25)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
277,"(9, 26)",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
278,"(9, 27)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
279,"(9, 28)",0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
280,"(9, 29)",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
281,"(9, 30)",1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
